id;rule_id;xPath;parent;realName;ECA;operator;nextOperator;value;completeName;naturalLanguage;author;ruleName
0;0;user/position/timeInsideARoom/@timeInsideBathroom;timeinsidearoom;timeinsidebathroom;condition;more;NEXTOPERATOR;30;timeinsidearoom-timeinsidebathroom;if the user's test time inside the bathroom is more than 30, send an alarm via sms to 1234123412;domainExpert1;ANA
1;0;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Alarm;alarms-alarms;if the user's test time inside the bathroom is more than 30, send an alarm via sms to 1234123412;domainExpert1;ANA
2;1;environment/currentWeather/@weatherIcon;currentweather;weathericon;condition;equal;NEXTOPERATOR;Sun;currentweather-weathericon;If the weather weather icon is sun, send a reminder to lisa-marie via SMS;domainExpert2;Erinnerung, ins Freie zu gehen, wenn die Sonne scheint
3;1;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;The sun is shining. Please go outside.;reminders-reminders;If the weather weather icon is sun, send a reminder to lisa-marie via SMS;domainExpert2;Erinnerung, ins Freie zu gehen, wenn die Sonne scheint
4;2;XPATH;relativeposition;typeofproximity;TRIGGER;inside;NEXTOPERATOR;bathroom;relativeposition-typeofproximity;If the test user is in the bathroom, turn on all lights;domainExpert3;Automatisches Licht im Bad
5;2;applianceState/Bathroom/allLight;bathroom;alllight;action;OPERATOR;NEXTOPERATOR;invokeFunctions:changeApplianceState;bathroom-alllight;If the test user is in the bathroom, turn on all lights;domainExpert3;Automatisches Licht im Bad
6;3;user/physiological/@steps;physiological;steps;condition;less;NEXTOPERATOR;5000;physiological-steps;if the Test-user daily steps are less than 5000, send a reminder via email to caregiver.1@provider.it;domainExpert4;Attività  fisica
7;3;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Exercises on the treadmill;reminders-reminders;if the Test-user daily steps are less than 5000, send a reminder via email to caregiver.1@provider.it;domainExpert4;Attività  fisica
8;4;environment/@lightLevel;livingroom;lightlevel;event;equal;NEXTOPERATOR;LOW_LIGHT;livingroom-lightlevel;when the light level of LivingRoom becomes dimly lit, shed some light in the living room ;domainExpert4;Luce in soggiorno
9;4;applianceState/LivingRoom/lightColor;livingroom;hue color light living room;action;OPERATOR;NEXTOPERATOR;update:lightColor;livingroom-hue color light living room;when the light level of LivingRoom becomes dimly lit, shed some light in the living room ;domainExpert4;Luce in soggiorno
10;5;technology/light/@state;greatluminaire;state;condition;equal;NEXTOPERATOR;OFF;greatluminaire-state;if the state of Great Luminaire is off, shed some light in the kitchen;domainExpert4;Great luminaire
11;5;applianceState/Kitchen/lightColor;kitchen;hue color light kitchen;action;OPERATOR;NEXTOPERATOR;custom:lightColor;kitchen-hue color light kitchen;if the state of Great Luminaire is off, shed some light in the kitchen;domainExpert4;Great luminaire
12;6;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;15:22;datetime-localtime;When time becomes  15:22 minutes ,  do send  one  reminder  by notification;domainExpert4;bedroom_light
13;6;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;You haven't played with Kwido in a long time, try playing a game!;reminders-reminders;When time becomes  15:22 minutes ,  do send  one  reminder  by notification;domainExpert4;bedroom_light
14;7;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;14:52;datetime-localtime;When time becomes  14:52 minutes ,  do send  one  reminder  by notification,  turn on the   Living Room Light and set color to Red;domainExpert4;aspirina
15;7;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Remember to take aspirin;reminders-reminders;When time becomes  14:52 minutes ,  do send  one  reminder  by notification,  turn on the   Living Room Light and set color to Red;domainExpert4;aspirina
16;7;applianceState/LivingRoom/lightColor;livingroom;hue color light living room;action;OPERATOR;NEXTOPERATOR;update:lightColor;livingroom-hue color light living room;When time becomes  14:52 minutes ,  do send  one  reminder  by notification,  turn on the   Living Room Light and set color to Red;domainExpert4;aspirina
17;8;user/cognitive/@trainingTime;cognitive;trainingtime;condition;equal;NEXTOPERATOR;30;cognitive-trainingtime;if the training time for the test user is 30, send an alarm by notification;domainExpert4;Tempo di allenamento
18;8;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;You can stop doing the exercises;alarms-alarms;if the training time for the test user is 30, send an alarm by notification;domainExpert4;Tempo di allenamento
19;9;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Dobetin and Lampard;activity-medicationname;if Dobetin and Lampard were not taken on 22/06/2019 between 11:05 and 11:06, send two alerts by notification ;domainExpert4;Dobetin e Lampard 
20;9;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Dobetin and Lampard ;alarms-alarms;if Dobetin and Lampard were not taken on 22/06/2019 between 11:05 and 11:06, send two alerts by notification ;domainExpert4;Dobetin e Lampard 
21;10;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Cardicor ;activity-medicationname;if Cardicor has not been taken between 8:04 pm and 9:05 pm, send two alerts by notification;domainExpert4;Cardicor 
22;10;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take the evening Cardicor ;alarms-alarms;if Cardicor has not been taken between 8:04 pm and 9:05 pm, send two alerts by notification;domainExpert4;Cardicor 
23;11;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Provisacor;activity-medicationname;if Provisacor has not been taken between 20:11 and 21:12, send two alerts by notification ;domainExpert4;Provisacor Sera
24;11;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take the evening Provisacor ;alarms-alarms;if Provisacor has not been taken between 20:11 and 21:12, send two alerts by notification ;domainExpert4;Provisacor Sera
25;12;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Tardifer lunch;activity-medicationname;If Tardifer Lunch was not taken between 1:08 PM and 2:09 PM, please send two alerts by notification;domainExpert4;Tardifer pranzo
26;12;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Tardifer ;alarms-alarms;If Tardifer Lunch was not taken between 1:08 PM and 2:09 PM, please send two alerts by notification;domainExpert4;Tardifer pranzo
27;13;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Duoplavin lunch;activity-medicationname;if Duoplavin lunch was not taken between 1:07 pm and 2:09 pm, send two alerts by notification;domainExpert4;Duoplavin pranzo
28;13;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Duoplavin lunch;alarms-alarms;if Duoplavin lunch was not taken between 1:07 pm and 2:09 pm, send two alerts by notification;domainExpert4;Duoplavin pranzo
29;14;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Ganfort eye drops;activity-medicationname;if Ganfort eye drops have not been taken between 8:03 PM and 9:06 PM, send two alerts by notification;domainExpert4;Ganfort collirio
30;14;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Ganfort eye drops evening;alarms-alarms;if Ganfort eye drops have not been taken between 8:03 PM and 9:06 PM, send two alerts by notification;domainExpert4;Ganfort collirio
31;15;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Trusopt eye drops evening;activity-medicationname;if Trusopt evening eye drops were not taken between 8:02 pm and 9:05 pm, send two alerts by notification;domainExpert4;Trusopt collirio sera
32;15;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Trusopt eye drops evening;alarms-alarms;if Trusopt evening eye drops were not taken between 8:02 pm and 9:05 pm, send two alerts by notification;domainExpert4;Trusopt collirio sera
33;16;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Trusopt lunch;activity-medicationname;if Trusopt lunch was not taken between 1:03 pm and 2:04 pm, send two alerts by notification;domainExpert4;Trusopt collirio pranzo
34;16;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Trusopt eye drops lunch;alarms-alarms;if Trusopt lunch was not taken between 1:03 pm and 2:04 pm, send two alerts by notification;domainExpert4;Trusopt collirio pranzo
35;17;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Trusopt eye drops;activity-medicationname;if Truopt eye drops have not been taken between 07:32 and 08:02, send two alerts by notification;domainExpert4;Trusopt
36;17;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Trusopt drops morning;alarms-alarms;if Truopt eye drops have not been taken between 07:32 and 08:02, send two alerts by notification;domainExpert4;Trusopt
37;18;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Zoloft;activity-medicationname;if Zoloft have not been taken between 07:31 and 08:01, send two alerts by notification;domainExpert4;Zoloft
38;18;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Zoloft;alarms-alarms;if Zoloft have not been taken between 07:31 and 08:01, send two alerts by notification;domainExpert4;Zoloft
39;19;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Lansoprazolo;activity-medicationname;if Lansoprazolo have not been taken between 07:30 and 08:00, send two alerts by notification;domainExpert4;Lansoprazolo mattina
40;19;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Lansoprazolo;alarms-alarms;if Lansoprazolo have not been taken between 07:30 and 08:00, send two alerts by notification;domainExpert4;Lansoprazolo mattina
41;20;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Eucreas evening;activity-medicationname;if Eucreas evening was not taken between 8pm and 9pm, please send two notices by notification;domainExpert4;Eucreas della sera
42;20;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take evening Eucreas ;alarms-alarms;if Eucreas evening was not taken between 8pm and 9pm, please send two notices by notification;domainExpert4;Eucreas della sera
43;21;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Eucreas lunch;activity-medicationname;if Eucreas lunch was not taken between 1pm and 2pm, please send two notices by notification;domainExpert4;Eucreas Pranzo
44;21;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Eucreas Lunch;alarms-alarms;if Eucreas lunch was not taken between 1pm and 2pm, please send two notices by notification;domainExpert4;Eucreas Pranzo
45;22;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Eucreas;activity-medicationname;if Eucreas morning was not taken between 7:30am and 8:00am, please send two notices by notification;domainExpert4;Eucreas mattina
46;22;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take Morning Eucreas ;alarms-alarms;if Eucreas morning was not taken between 7:30am and 8:00am, please send two notices by notification;domainExpert4;Eucreas mattina
47;23;technology/light/@state;greatluminaire;state;condition;notequal;and;OFF;greatluminaire-state;if  Great Luminaire state is different from  off  and time is  13:37 minutes ,  do send  reminder  by notification;domainExpert4;prova n2
48;23;environment/dateTime/@localTime;datetime;localtime;condition;equal;NEXTOPERATOR;13:37;datetime-localtime;if  Great Luminaire state is different from  off  and time is  13:37 minutes ,  do send  reminder  by notification;domainExpert4;prova n2
49;23;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Turn off the great luminarie;reminders-reminders;if  Great Luminaire state is different from  off  and time is  13:37 minutes ,  do send  reminder  by notification;domainExpert4;prova n2
50;24;technology/light/@state;greatluminaire;state;condition;notequal;NEXTOPERATOR;OFF;greatluminaire-state;if  Great Luminaire state is different from  off  ,  do send  reminder  by notification;domainExpert4;great luminarie prova1
51;24;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Turn off the great luminarie;reminders-reminders;if  Great Luminaire state is different from  off  ,  do send  reminder  by notification;domainExpert4;great luminarie prova1
52;25;environment/@lightLevel;livingroom;lightlevel;event;equal;NEXTOPERATOR;LOW_LIGHT;livingroom-lightlevel;when the light level of the LivingRoom becomes poorly lit, shed some light in the living room;domainExpert4;Luce in soggiorno
53;25;applianceState/LivingRoom/lightColor;livingroom;hue color light living room;action;OPERATOR;NEXTOPERATOR;update:lightColor;livingroom-hue color light living room;when the light level of the LivingRoom becomes poorly lit, shed some light in the living room;domainExpert4;Luce in soggiorno
54;26;user/physiological/@steps;physiological;steps;condition;less;NEXTOPERATOR;5000;physiological-steps;if the daily steps of Test-user are less than 5000, send a reminder via email to caregiver.1@provider.it;domainExpert4;Attività  fisica
55;26;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;exercises on the treadmill;reminders-reminders;if the daily steps of Test-user are less than 5000, send a reminder via email to caregiver.1@provider.it;domainExpert4;Attività  fisica
56;27;XPATH;relativeposition;typeofproximity;event;outside;NEXTOPERATOR;house;relativeposition-typeofproximity;when the test user goes out and the time is between 21:00 and 22:00, send two SMS alerts to Caregiver 2;domainExpert5;Fuori casa di sera
57;27;environment/dateTime/@localTime;datetime;localtime;condition;gt;and;21:00;datetime-localtime;when the test user goes out and the time is between 21:00 and 22:00, send two SMS alerts to Caregiver 2;domainExpert5;Fuori casa di sera
58;27;environment/dateTime/@localTime;datetime;localtime;condition;lt;and;22:00;datetime-localtime;when the test user goes out and the time is between 21:00 and 22:00, send two SMS alerts to Caregiver 2;domainExpert5;Fuori casa di sera
59;27;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;User 2 is away from home late at night;alarms-alarms;when the test user goes out and the time is between 21:00 and 22:00, send two SMS alerts to Caregiver 2;domainExpert5;Fuori casa di sera
60;28;user/cognitive/@trainingTime;cognitive;trainingtime;condition;less;NEXTOPERATOR;1;cognitive-trainingtime;if the user test training time is less than 1, send an alarm by notification;domainExpert5;Esercizi cognitivi
61;28;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Keep practicing;alarms-alarms;if the user test training time is less than 1, send an alarm by notification;domainExpert5;Esercizi cognitivi
62;29;user/activity/medication/@intakeTime;medication;intaketime;condition;notequal;NEXTOPERATOR;15:00;medication-intaketime;if  Test-user intake time is different from  15:00  ,  do send  one  alarm  by notification;domainExpert5;Assunzione farmaco 
63;29;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Take the 3 o'clock pill;alarms-alarms;if  Test-user intake time is different from  15:00  ,  do send  one  alarm  by notification;domainExpert5;Assunzione farmaco 
64;30;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Aprovel/Coaprovel;activity-medicationname;If Aprovel / Coaprovel has not been taken between 20:00 and 20:15, send three notices by notification;domainExpert5;Aprovel/Coaprovel
65;30;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Aprovel/Coaprovel ;alarms-alarms;If Aprovel / Coaprovel has not been taken between 20:00 and 20:15, send three notices by notification;domainExpert5;Aprovel/Coaprovel
66;31;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Ibustrin 200 mg 1cp /die;activity-medicationname;If Ibustrin 200mg 1cp has not been taken between 2:00pm and 2:15pm, send three notices by notification;domainExpert5;Ibustrin 200 mg 1cp/die
67;31;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Ibustrin 200 mg 1cp/die;alarms-alarms;If Ibustrin 200mg 1cp has not been taken between 2:00pm and 2:15pm, send three notices by notification;domainExpert5;Ibustrin 200 mg 1cp/die
68;32;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Norvasc 5mg 1cp/die;activity-medicationname;If Navarsc 5mg 1cp /die has not been taken between 9:00am and 9:05am, send three notices by notification;domainExpert5;Norvasc 5 mg 1cp/die
69;32;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Norvasc 5 mg 1cp/die;alarms-alarms;If Navarsc 5mg 1cp /die has not been taken between 9:00am and 9:05am, send three notices by notification;domainExpert5;Norvasc 5 mg 1cp/die
70;33;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Tenormin 1/4 cp/die;activity-medicationname;If Tenormin 1/4 cp/die has not been taken between 9:00am and 9:15am, send three notices by notification;domainExpert5;Tenormin 1/4 cp/die
71;33;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Tenormin 1/4 pill;alarms-alarms;If Tenormin 1/4 cp/die has not been taken between 9:00am and 9:15am, send three notices by notification;domainExpert5;Tenormin 1/4 cp/die
72;34;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Pantorc;activity-medicationname;If Pantorc has not been taken between 7:00am and 7:15am, send three notices by notification;domainExpert5;Assumere Pantorc 1cp/die
73;34;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Remember to take the Pantorc;alarms-alarms;If Pantorc has not been taken between 7:00am and 7:15am, send three notices by notification;domainExpert5;Assumere Pantorc 1cp/die
74;35;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Aplactin 20 mg 1cp/die;activity-medicationname;If Aplactin 20 mg 1 cp/die has not been taken between 8:00pm and 8:20pm, send three notices by notification;domainExpert5;Aplactin 20 mg 1cp/die
75;35;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Aplactin 20 mg 1cp/die;alarms-alarms;If Aplactin 20 mg 1 cp/die has not been taken between 8:00pm and 8:20pm, send three notices by notification;domainExpert5;Aplactin 20 mg 1cp/die
76;36;user/cognitive/@trainingTime;cognitive;trainingtime;condition;less;NEXTOPERATOR;20;cognitive-trainingtime;If the training time for the trial user is less than 20, send a reminder by notification;domainExpert5;Continua ad esercitarti
77;36;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Do some more exercise;reminders-reminders;If the training time for the trial user is less than 20, send a reminder by notification;domainExpert5;Continua ad esercitarti
78;37;user/activity/@medicationName;activity;medicationname;condition;equal;NEXTOPERATOR;Aspirine;activity-medicationname;if Aspirine has been taken   ,  do send  one  reminder  by notification;applicationExpert1;aspirine_taken
79;37;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Aspirine taken;reminders-reminders;if Aspirine has been taken   ,  do send  one  reminder  by notification;applicationExpert1;aspirine_taken
80;38;user/activity/@medicationName;activity;medicationname;event;equal;NEXTOPERATOR;Aspirine;activity-medicationname;If Aspirine has not been taken    between 17:18 and 17:22 ,  do send  one  alarm  by notification;applicationExpert1;aspirine_not_taken_in_time_interval
81;38;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Marco did not take the Aspirine!;alarms-alarms;If Aspirine has not been taken    between 17:18 and 17:22 ,  do send  one  alarm  by notification;applicationExpert1;aspirine_not_taken_in_time_interval
82;39;environment/@lightLevel;bedroom;lightlevel;event;equal;NEXTOPERATOR;NO_LIGHT;bedroom-lightlevel;When  Bedroom light level becomes  no light  ,  do start biorhythm light scene in the bedroom;applicationExpert1;8-no_light
83;39;applianceState/Bedroom/@scene;bedroom;biorhythmlight;action;OPERATOR;NEXTOPERATOR;invokeFunctions:lightScene;bedroom-biorhythmlight;When  Bedroom light level becomes  no light  ,  do start biorhythm light scene in the bedroom;applicationExpert1;8-no_light
84;40;environment/dateTime/@localTime;datetime;localtime;event;equal;and;18:25;datetime-localtime; When time becomes  18:25 minutes and  When  Marco daily footsteps is    less then  5000  ,  do send  one  reminder  by notification;applicationExpert1;7-time_steps
85;40;user/physiological/@steps;physiological;steps;condition;less;and;5000;physiological-steps; When time becomes  18:25 minutes and  When  Marco daily footsteps is    less then  5000  ,  do send  one  reminder  by notification;applicationExpert1;7-time_steps
86;40;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Go outside to have a walk;reminders-reminders; When time becomes  18:25 minutes and  When  Marco daily footsteps is    less then  5000  ,  do send  one  reminder  by notification;applicationExpert1;7-time_steps
87;41;user/position/timeInsideARoom/@timeInsideBathroom;timeinsidearoom;timeinsidebathroom;event;more;NEXTOPERATOR;2;timeinsidearoom-timeinsidebathroom;When time inside bathroom becomes  more then  2 minutes ,  do send  one  alarm  by notification;applicationExpert1;6-time_inside_bathroom
88;41;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Marco is in the bathroom for more than 1 hour;alarms-alarms;When time inside bathroom becomes  more then  2 minutes ,  do send  one  alarm  by notification;applicationExpert1;6-time_inside_bathroom
89;42;XPATH;relativeposition;typeofproximity;event;inside;NEXTOPERATOR;bedroom;relativeposition-typeofproximity;When  Marco   is  inside  bedroom ,  do start relaxing light scene in the bedroom;applicationExpert1;4-inside_bedroom
90;42;applianceState/Bedroom/@scene;bedroom;relax;action;OPERATOR;NEXTOPERATOR;invokeFunctions:lightScene;bedroom-relax;When  Marco   is  inside  bedroom ,  do start relaxing light scene in the bedroom;applicationExpert1;4-inside_bedroom
91;43;environment/@motion;bedroom;motion;event;equal;and;TRUE;bedroom-motion; When  Bedroom motion becomes  active    and  When time  is between 17:55 AND 18:00  ,  do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;applicationExpert1;3-bedroom_motion_night
92;43;environment/dateTime/@localTime;datetime;localtime;condition;between;and;17:55;datetime-localtime; When  Bedroom motion becomes  active    and  When time  is between 17:55 AND 18:00  ,  do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;applicationExpert1;3-bedroom_motion_night
93;43;environment/dateTime/@localTime;datetime;localtime;condition;lt;and;18:00;datetime-localtime; When  Bedroom motion becomes  active    and  When time  is between 17:55 AND 18:00  ,  do  turn on the   Light Strip Corridor and set color to Electric green for 2 minutes;applicationExpert1;3-bedroom_motion_night
