rule_id;parent;realName;ECA;myOperator;nextOperator;readableValue;descriptiveName;author;ruleName;naturalLanguage;partialNaturalLanguage;Negation;Goal;User;Situation
0;timeinsidearoom;timeinsidebathroom;condition;more;NEXTOPERATOR;30;timeinsidearoom-timeinsidebathroom;domainExpert1;ANA;"if the user's test time inside the bathroom is more than 30, send the alarm ""Time inside bathroom more than 30 minutes"" via sms to 1234123412";if the user's test time inside the bathroom is more than 30;;Safety;Caregiver;ElderlyAlone
0;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Time inside bathroom more than 30 minutes;alarms-alarms;domainExpert1;ANA;"if the user's test time inside the bathroom is more than 30, send the alarm ""Time inside bathroom more than 30 minutes"" via sms to 1234123412";"send the alarm ""Time inside bathroom more than 30 minutes"" via sms to 1234123412";;Safety;Caregiver;ElderlyAlone
1;currentweather;weathericon;condition;equal;NEXTOPERATOR;Sun;currentweather-weathericon;domainExpert2;Erinnerung, ins Freie zu gehen, wenn die Sonne scheint;"If the weather weather icon is sun, send the reminder ""The sun is shining. Please go outside""";If the weather weather icon is sun;;Wellbeing, Health;Caregiver;GoodWeather
1;reminders;reminders;action;OPERATOR;NEXTOPERATOR;The sun is shining. Please go outside.;reminders-reminders;domainExpert2;Erinnerung, ins Freie zu gehen, wenn die Sonne scheint;"If the weather weather icon is sun, send the reminder ""The sun is shining. Please go outside""";"send the reminder ""The sun is shining. Please go outside"" to lisa-marie via SMS";;Wellbeing, Health;Caregiver;GoodWeather
2;relativeposition;typeofproximity;condition;inside;NEXTOPERATOR;bathroom;relativeposition-typeofproximity;domainExpert3;Automatisches Licht im Bad;If the test user is in the bathroom, turn on all bathroom lights;If the test user is in the bathroom;;Comfort;Caregiver;Generic
2;bathroom;alllight;action;OPERATOR;NEXTOPERATOR;ON;bathroom-alllight;domainExpert3;Automatisches Licht im Bad;If the test user is in the bathroom, turn on all bathroom lights;turn on all bathroom lights;;Comfort;Caregiver;Generic
3;physiological;steps;condition;less;NEXTOPERATOR;5000;physiological-steps;domainExpert4;Attività  fisica;if the Test-user daily steps are less than 5000, send a reminder via email to caregiver.1@provider.it;if the Test-user daily steps are less than 5000;;Health;Caregiver;Generic
3;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Exercises on the treadmill;reminders-reminders;domainExpert4;Attività  fisica;if the Test-user daily steps are less than 5000, send a reminder via email to caregiver.1@provider.it;"send the reminder ""Exercises on the treadmill"" via email to caregiver.1@provider.it";;Health;Caregiver;Generic
4;livingroom;lightlevel;event;equal;NEXTOPERATOR;LOW_LIGHT;livingroom-lightlevel;domainExpert4;Luce in soggiorno;when the light level of LivingRoom becomes dimly lit, shed some light in the living room ;when the light level of LivingRoom becomes dimly lit;;Comfort;Caregiver;Generic
4;livingroom;changelightstate;action;OPERATOR;NEXTOPERATOR;ON;livingroom-changelightstate;domainExpert4;Luce in soggiorno;when the light level of LivingRoom becomes dimly lit, shed some light in the living room ;shed some light in the living room ;;Comfort;Caregiver;Generic
5;greatluminaire;state;condition;equal;NEXTOPERATOR;OFF;greatluminaire-state;domainExpert4;Great luminaire;if the state of Great Luminaire is off, shed some light in the kitchen;if the state of Great Luminaire is off;;Generic;Caregiver;Debug
5;kitchen;changelightstate;action;OPERATOR;NEXTOPERATOR;ON;kitchen-changelightstate;domainExpert4;Great luminaire;if the state of Great Luminaire is off, shed some light in the kitchen;shed some light in the kitchen;;Generic;Caregiver;Debug
6;datetime;localtime;event;equal;NEXTOPERATOR;15:22;datetime-localtime;domainExpert4;bedroom_light;"When time becomes  15:22 minutes ,  do send  one  reminder  ""You haven't played with Kwido in a long time, try playing a game!"" by notification";When time becomes  15:22 minutes;;Generic;Caregiver;Generic
6;reminders;reminders;action;OPERATOR;NEXTOPERATOR;You haven't played with Kwido in a long time, try playing a game!;reminders-reminders;domainExpert4;bedroom_light;"When time becomes  15:22 minutes ,  do send  one  reminder  ""You haven't played with Kwido in a long time, try playing a game!"" by notification";"do send  one  reminder  ""You haven't played with Kwido in a long time  try playing a game!"" by notification";;Generic;Caregiver;Generic
7;datetime;localtime;event;equal;NEXTOPERATOR;14:52;datetime-localtime;domainExpert4;aspirina;"When time becomes  14:52 minutes ,  do send  one  reminder  ""Remember to take aspirin"" by notification,  turn on the   Living Room Light and set color to Red";When time becomes  14:52 minutes ;;Health;Caregiver;Generic
7;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Remember to take aspirin;reminders-reminders;domainExpert4;aspirina;"When time becomes  14:52 minutes ,  do send  one  reminder  ""Remember to take aspirin"" by notification,  turn on the   Living Room Light and set color to Red";"do send  one  reminder ""Remember to take aspirin"" by notification";;Health;Caregiver;Generic
7;livingroom;hue color light living room;action;OPERATOR;NEXTOPERATOR;RED;livingroom-hue color light living room;domainExpert4;aspirina;"When time becomes  14:52 minutes ,  do send  one  reminder  ""Remember to take aspirin"" by notification,  turn on the   Living Room Light and set color to Red";turn on the   Living Room Light and set color to Red;;Health;Caregiver;Generic
8;cognitive;trainingtime;condition;equal;NEXTOPERATOR;30;cognitive-trainingtime;domainExpert4;Tempo di allenamento;"if the training time for the test user is 30, send an alarm ""You can stop doing the exercises"" by notification";if the training time for the test user is 30;;Wellbeing, Health;Caregiver;Generic
8;alarms;alarms;action;OPERATOR;NEXTOPERATOR;You can stop doing the exercises;alarms-alarms;domainExpert4;Tempo di allenamento;"if the training time for the test user is 30, send an alarm ""You can stop doing the exercises"" by notification";"send an alarm ""You can stop doing the exercises"" by notification";;Wellbeing, Health;Caregiver;Generic
9;activity;medicationname;condition;equal;NEXTOPERATOR;Dobetin and Lampard;activity-medicationname;domainExpert4;Dobetin e Lampard ;if Dobetin and Lampard were not taken on 22/06/2019 between 11:05 and 11:06, send two alerts by notification ;if Dobetin and Lampard were not taken on 22/06/2019 between 11:05 and 11:06;NOT WHEN;Health;Caregiver;Generic
9;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Dobetin and Lampard ;alarms-alarms;domainExpert4;Dobetin e Lampard ;if Dobetin and Lampard were not taken on 22/06/2019 between 11:05 and 11:06, send two alerts by notification ;"send an alarm ""Dobetin and Lampard"" by notification";;Health;Caregiver;Generic
