id;rule_id;xPath;parent;realName;ECA;operator;nextOperator;value;naturalLanguage;author;ruleName;partialNaturalLanguage;descriptiveName;normalizedDescriptiveName
0;0;user/position/timeInsideARoom/@timeInsideBathroom;timeinsidearoom;timeinsidebathroom;condition;more;NEXTOPERATOR;30;if the user's test time inside the bathroom is more than 30, send an alarm via sms to 1234123412;domainExpert1;ANA;if the user's test time inside the bathroom is more than 30;timeinsidearoom-timeinsidebathroom;
1;0;Alarms;alarms;alarms;action;OPERATOR;NEXTOPERATOR;Alarm;if the user's test time inside the bathroom is more than 30, send an alarm via sms to 1234123412;domainExpert1;ANA;send an alarm via sms to 1234123412;alarms-alarms;
2;1;environment/currentWeather/@weatherIcon;currentweather;weathericon;condition;equal;NEXTOPERATOR;Sun;If the weather weather icon is sun, send a reminder to lisa-marie via SMS;domainExpert2;Erinnerung, ins Freie zu gehen, wenn die Sonne scheint;If the weather weather icon is sun;currentweather-??;
3;1;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;The sun is shining. Please go outside.;If the weather weather icon is sun, send a reminder to lisa-marie via SMS;domainExpert2;Erinnerung, ins Freie zu gehen, wenn die Sonne scheint;"send the reminder ""The sun is shining. Please go outside"" to lisa-marie via SMS";reminders-reminders;
4;2;XPATH;relativeposition;typeofproximity;TRIGGER;inside;NEXTOPERATOR;bathroom;If the test user is in the bathroom, turn on all lights;domainExpert3;Automatisches Licht im Bad;If the test user is in the bathroom;relativeposition-typeofproximity;
5;2;applianceState/Bathroom/allLight;bathroom;alllight;action;OPERATOR;NEXTOPERATOR;invokeFunctions:changeApplianceState;If the test user is in the bathroom, turn on all lights;domainExpert3;Automatisches Licht im Bad;turn on all lights;bathroom-alllight;
6;3;user/physiological/@steps;physiological;steps;condition;less;NEXTOPERATOR;5000;if the Test-user daily steps are less than 5000, send a reminder via email to caregiver.1@provider.it;domainExpert4;Attività  fisica;if the Test-user daily steps are less than 5000;physiological-steps;
7;3;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Exercises on the treadmill;if the Test-user daily steps are less than 5000, send a reminder via email to caregiver.1@provider.it;domainExpert4;Attività  fisica;"send the reminder ""Exercises on the treadmill"" via email to caregiver.1@provider.it";reminders-reminders;
8;4;environment/@lightLevel;livingroom;lightlevel;event;equal;NEXTOPERATOR;LOW_LIGHT;when the light level of LivingRoom becomes dimly lit, shed some light in the living room ;domainExpert4;Luce in soggiorno;when the light level of LivingRoom becomes dimly lit;livingroom-lightlevel;
9;4;applianceState/LivingRoom/lightColor;livingroom;hue color light living room;action;OPERATOR;NEXTOPERATOR;update:lightColor;when the light level of LivingRoom becomes dimly lit, shed some light in the living room ;domainExpert4;Luce in soggiorno;shed some light in the living room ;livingroom-hue color light living room;
10;5;technology/light/@state;greatluminaire;state;condition;equal;NEXTOPERATOR;OFF;if the state of Great Luminaire is off, shed some light in the kitchen;domainExpert4;Great luminaire;if the state of Great Luminaire is off;greatluminaire-state;
11;5;applianceState/Kitchen/lightColor;kitchen;hue color light kitchen;action;OPERATOR;NEXTOPERATOR;custom:lightColor;if the state of Great Luminaire is off, shed some light in the kitchen;domainExpert4;Great luminaire;shed some light in the kitchen;kitchen-hue color light kitchen;
12;6;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;15:22;When time becomes  15:22 minutes ,  do send  one  reminder  by notification;domainExpert4;bedroom_light;When time becomes  15:22 minutes;datetime-localtime;
13;6;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;You haven't played with Kwido in a long time, try playing a game!;When time becomes  15:22 minutes ,  do send  one  reminder  by notification;domainExpert4;bedroom_light;"do send  one  reminder  ""You haven't played with Kwido in a long time  try playing a game!"" by notification";reminders-reminders;
14;7;environment/dateTime/@localTime;datetime;localtime;event;equal;NEXTOPERATOR;14:52;When time becomes  14:52 minutes ,  do send  one  reminder  by notification,  turn on the   Living Room Light and set color to Red;domainExpert4;aspirina;When time becomes  14:52 minutes ;datetime-localtime;
15;7;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Remember to take aspirin;When time becomes  14:52 minutes ,  do send  one  reminder  by notification,  turn on the   Living Room Light and set color to Red;domainExpert4;aspirina;"do send  one  reminder ""Remember to take aspirin"" by notification";reminders-reminders;
16;7;applianceState/LivingRoom/lightColor;livingroom;hue color light living room;action;OPERATOR;NEXTOPERATOR;update:lightColor;When time becomes  14:52 minutes ,  do send  one  reminder  by notification,  turn on the   Living Room Light and set color to Red;domainExpert4;aspirina;turn on the   Living Room Light and set color to Red;livingroom-hue color light living room;
17;8;user/cognitive/@trainingTime;cognitive;trainingtime;condition;equal;NEXTOPERATOR;30;if the training time for the test user is 30, send an alarm by notification;domainExpert4;Tempo di allenamento;if the training time for the test user is 30;cognitive-trainingtime;
